@RELATION training_keyboard

    @ATTRIBUTE pacman_posx NUMERIC
    @ATTRIBUTE pacman_posy NUMERIC
    @ATTRIBUTE go_north {0,1}
    @ATTRIBUTE go_south {0,1}
    @ATTRIBUTE go_east {0,1}
    @ATTRIBUTE go_west {0,1}
    @ATTRIBUTE stop {0,1}
    @ATTRIBUTE living_ghosts_1 {1, 0}
    @ATTRIBUTE ghost_1_posx NUMERIC
    @ATTRIBUTE ghost_1_posy NUMERIC
    @ATTRIBUTE living_ghosts_2 {1, 0}
    @ATTRIBUTE ghost_2_posx NUMERIC
    @ATTRIBUTE ghost_2_posy NUMERIC
    @ATTRIBUTE living_ghosts_3 {1, 0}
    @ATTRIBUTE ghost_3_posx NUMERIC
    @ATTRIBUTE ghost_3_posy NUMERIC
    @ATTRIBUTE living_ghosts_4 {1, 0}
    @ATTRIBUTE ghost_4_posx NUMERIC
    @ATTRIBUTE ghost_4_posy NUMERIC
    @ATTRIBUTE distance_dot NUMERIC
    @ATTRIBUTE score NUMERIC
    @ATTRIBUTE move {North, South, East, West, Stop}
    @ATTRIBUTE next_score NUMERIC
    @ATTRIBUTE next_move {North, South, East, West, Stop}

@data
4,10,0,1,1,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,371,West,370,North
3,10,1,1,1,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,370,North,369,North
3,11,1,1,0,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,369,North,368,North
3,12,1,1,0,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,368,North,367,North
3,13,1,1,0,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,367,North,366,East
3,14,0,1,1,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,366,East,365,East
4,14,0,0,1,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,365,East,364,East
5,14,0,0,1,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,364,East,363,East
6,14,0,0,1,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,363,East,362,East
7,14,0,0,1,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,362,East,361,South
8,14,0,1,1,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,361,South,360,South
8,13,1,1,1,0,1,1,1,1,0,5,12,1,5,1,0,13,12,0,360,South,359,West
8,12,1,0,1,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,359,West,358,West
7,12,0,0,1,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,358,West,357,West
6,12,0,0,1,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,357,West,556,East
5,12,0,0,1,0,1,1,1,1,1,3,1,1,5,1,0,13,12,0,556,East,555,East
6,12,0,0,1,1,1,1,1,1,1,3,1,1,5,1,0,13,12,0,555,East,554,East
7,12,0,0,1,1,1,1,1,1,1,3,1,1,5,1,0,13,12,0,554,East,553,East
8,12,1,0,1,1,1,1,1,1,1,3,1,1,5,1,0,13,12,0,553,East,552,East
9,12,1,0,1,1,1,1,1,1,1,3,1,1,5,1,0,13,12,0,552,East,551,East
10,12,1,0,1,1,1,1,1,1,1,3,1,1,5,1,0,13,12,0,551,East,550,East
11,12,0,0,1,1,1,1,1,1,1,3,1,1,5,1,0,13,12,0,550,East,549,East
14,1,0,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,1,0,Stop,-1,Stop
14,1,0,0,1,1,1,0,10,13,0,13,13,0,15,13,0,17,13,1,-1,Stop,-2,East
14,1,0,0,1,1,1,0,11,13,0,13,13,0,14,13,0,17,13,1,-2,East,97,North
15,1,1,0,1,1,1,0,11,13,0,13,14,0,14,13,0,17,13,1,97,North,196,North
15,2,1,1,0,0,1,0,11,13,0,14,14,0,14,13,0,16,13,1,196,North,295,East
15,3,0,1,1,0,1,0,12,13,0,14,14,0,14,14,0,15,13,1,295,East,394,East
16,3,0,0,1,1,1,0,11,13,0,14,13,0,14,13,0,16,13,1,394,East,493,East
17,3,0,0,1,1,1,0,12,13,0,14,14,0,13,13,0,16,13,1,493,East,592,North
18,3,1,0,0,1,1,0,11,13,0,13,14,0,13,13,0,15,13,1,592,North,691,North
18,4,1,1,0,0,1,0,10,13,0,14,14,0,12,13,0,14,13,1,691,North,790,North
18,5,1,1,0,0,1,0,10,13,0,13,14,0,13,13,0,14,13,1,790,North,889,East
18,6,0,1,1,1,1,0,10,13,0,13,14,0,12,13,0,13,13,1,889,East,988,East
19,6,0,0,1,1,1,0,11,13,0,13,14,0,12,13,0,13,14,1,988,East,1087,East
20,6,0,0,1,1,1,0,11,13,0,13,14,0,11,13,0,13,15,1,1087,East,1186,North
21,6,1,1,0,1,1,0,11,13,0,13,15,0,11,13,0,14,15,1,1186,North,1285,North
21,7,1,1,0,0,1,0,11,13,0,13,15,0,12,13,0,15,15,1,1285,North,1384,North
21,8,1,1,0,0,1,0,10,13,0,13,15,0,12,13,0,15,15,1,1384,North,1483,North
21,9,1,1,1,1,1,0,11,13,0,12,15,0,12,13,0,15,16,1,1483,North,1582,North
21,10,1,1,0,0,1,0,10,13,0,13,15,0,11,13,0,15,15,1,1582,North,1681,North
21,11,1,1,0,0,1,0,11,13,0,12,15,0,10,13,0,15,15,1,1681,North,1780,North
21,12,1,1,0,0,1,0,12,13,0,13,15,0,10,13,0,15,15,1,1780,North,1879,West
21,13,1,1,1,1,1,0,11,13,0,13,14,0,10,13,0,15,15,1,1879,West,1878,West
20,13,0,0,1,1,1,0,10,13,0,14,14,0,10,13,0,15,15,2,1878,West,1877,North
19,13,1,1,1,0,1,0,11,13,0,13,14,0,10,13,0,16,15,3,1877,North,1876,North
19,14,1,1,0,0,1,0,10,13,0,13,14,0,11,13,0,16,15,2,1876,North,1875,West
19,15,0,1,0,1,1,0,10,13,0,13,15,0,10,13,0,17,15,2,1875,West,1874,West
18,15,0,0,1,1,1,0,11,13,0,12,15,0,10,13,0,16,15,3,1874,West,1873,West
17,15,0,0,1,1,1,0,11,13,0,13,15,0,11,13,0,15,15,3,1873,West,1872,West
16,15,0,0,1,1,1,0,10,13,0,14,15,0,10,13,0,15,15,3,1872,West,2071,West
15,15,1,0,1,1,1,0,11,13,0,14,15,0,10,13,1,15,16,3,2071,West,2270,South
14,15,0,1,1,1,1,0,11,13,1,3,1,0,10,13,1,7,1,4,2270,South,2269,South
14,14,1,1,0,1,1,0,10,13,1,2,1,0,11,13,1,6,1,5,2269,South,2268,West
14,13,1,0,1,1,1,0,11,13,1,3,1,0,11,13,1,6,1,5,2268,West,2267,West
14,1,0,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,1,0,Stop,-1,Stop
14,1,0,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,1,-1,Stop,-2,East
14,1,0,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,1,-2,East,97,North
15,1,1,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,1,97,North,196,North
15,2,1,1,0,0,1,0,10,13,0,13,13,0,14,13,0,17,13,1,196,North,295,East
15,3,0,1,1,0,1,0,10,13,0,13,13,0,14,13,0,17,13,1,295,East,394,East
16,3,0,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,1,394,East,493,East
17,3,0,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,1,493,East,592,North
18,3,1,0,0,1,1,0,10,13,0,13,13,0,14,13,0,17,13,1,592,North,691,North
18,4,1,1,0,0,1,0,10,13,0,13,13,0,14,13,0,17,13,1,691,North,790,North
18,5,1,1,0,0,1,0,10,13,0,13,13,0,14,13,0,17,13,1,790,North,889,West
18,6,0,1,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,1,889,West,988,West
17,6,0,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,1,988,West,1087,West
16,6,0,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,1,1087,West,1186,North
15,6,1,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,1,1186,North,1285,North
15,7,1,1,0,0,1,0,10,13,0,13,13,0,14,13,0,17,13,1,1285,North,1384,North
15,8,1,1,0,0,1,0,10,13,0,13,13,0,14,13,0,17,13,1,1384,North,1483,East
15,9,0,1,1,0,1,0,10,13,0,13,13,0,14,13,0,17,13,1,1483,East,1582,East
16,9,0,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,1,1582,East,1681,East
17,9,0,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,1,1681,East,1780,East
18,9,0,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,1,1780,East,1879,North
19,9,1,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,1,1879,North,1878,North
19,10,1,1,0,0,1,0,10,13,0,13,13,0,14,13,0,17,13,2,1878,North,1877,North
19,11,1,1,0,1,1,0,10,13,0,13,13,0,14,13,0,17,13,2,1877,North,1876,North
19,12,1,1,0,0,1,0,10,13,0,13,13,0,14,13,0,17,13,2,1876,North,1875,North
19,13,1,1,1,0,1,0,10,13,0,13,13,0,14,13,0,17,13,2,1875,North,1874,North
19,14,1,1,0,0,1,0,10,13,0,13,13,0,14,13,0,17,13,2,1874,North,1873,West
19,15,0,1,0,1,1,0,10,13,0,13,13,0,14,13,0,17,13,2,1873,West,1872,West
18,15,0,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,3,1872,West,1871,West
17,15,0,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,3,1871,West,1870,West
16,15,0,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,3,1870,West,1869,West
15,15,1,0,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,3,1869,West,1868,South
14,15,0,1,1,1,1,0,10,13,0,13,13,0,14,13,0,17,13,4,1868,South,1867,South
14,14,1,1,0,1,1,0,10,13,0,13,13,0,14,13,0,17,13,5,1867,South,2066,East
14,13,1,0,1,1,1,0,10,13,0,13,13,1,5,1,0,17,13,6,2066,East,2065,East
15,13,0,0,1,1,1,0,10,13,0,13,13,1,5,1,0,17,13,5,2065,East,2064,East
16,13,0,0,1,1,1,0,10,13,0,13,13,1,5,1,0,17,13,5,2064,East,2263,West
17,13,0,0,0,1,1,0,10,13,0,13,13,1,5,1,1,7,1,4,2263,West,2262,West
16,13,0,0,1,1,1,0,10,13,0,13,13,1,5,1,1,7,1,5,2262,West,2261,West
15,13,0,0,1,1,1,0,10,13,0,13,13,1,5,1,1,7,1,5,2261,West,2260,West
14,13,1,0,1,1,1,0,10,13,0,13,13,1,5,1,1,7,1,6,2260,West,2459,West
13,13,1,0,1,1,1,0,10,13,1,3,1,1,5,1,1,7,1,5,2459,West,2458,West
12,13,0,0,1,1,1,0,10,13,1,3,1,1,5,1,1,7,1,4,2458,West,2457,West
1,18,0,1,1,0,1,0,5,9,0,11,3,0,17,6,0,25,13,0,0,Stop,-1,Stop
1,18,0,1,1,0,1,0,5,8,0,11,3,0,17,6,0,25,13,0,-1,Stop,-2,South
1,18,0,1,1,0,1,0,5,9,0,10,3,0,17,6,0,25,14,0,-2,South,-3,South
1,17,1,1,0,0,1,0,4,9,0,9,3,0,17,5,0,25,13,0,-3,South,-4,South
1,16,1,1,1,0,1,0,5,9,0,9,4,0,17,6,0,25,13,0,-4,South,-5,South
